#{"t_start": 1632727181.1967397, "env_id": null}
r,l,t
-0.880952,6,64.558152
1.190476,9,64.587075
1.166667,8,64.614075
-0.809524,9,64.643995
1.119048,6,64.663942
1.238095,11,64.698693
1.166667,8,64.723174
1.214286,10,64.753106
1.214286,10,64.783016
-0.833333,8,64.808947
1.142857,7,64.830891
-0.833333,8,64.855524
-9.738095,12,64.891361
1.119048,6,64.910311
-0.761905,11,64.942264
1.309524,14,64.993315
1.238095,11,65.031958
-9.619048,17,65.080141
1.238095,11,65.115048
1.309524,14,65.155965
1.238095,11,65.189875
-0.666667,15,65.237747
1.190476,9,65.268942
1.285714,13,65.317022
1.285714,13,65.48644
1.285714,13,65.523049
-0.714286,13,65.561946
-0.738095,12,65.597847
-9.761905,11,65.628338
-9.809524,9,65.653415
1.166667,8,65.676354
1.071429,4,65.689168
1.261905,12,65.724209
-9.666667,15,65.765929
1.238095,11,65.796879
-9.761905,11,65.825798
-0.738095,12,65.861583
1.190476,9,65.887191
-0.833333,8,65.912399
1.166667,8,65.934125
-0.619048,17,65.984149
1.309524,14,66.024084
-9.738095,12,66.057008
1.261905,12,66.09284
1.166667,8,66.117302
1.190476,9,66.142217
-9.761905,11,66.175113
1.071429,4,66.190341
-0.928571,4,66.204309
1.190476,9,66.358984
-0.833333,8,66.382911
1.261905,12,66.420184
-9.809524,9,66.449055
-9.738095,12,66.488122
-9.785714,10,66.517093
-0.857143,7,66.539916
-0.833333,8,66.565037
-9.738095,12,66.598975
-9.785714,10,66.626397
-0.785714,10,66.657708
1.238095,11,66.690068
-0.714286,13,66.725962
-0.738095,12,66.761578
-0.904762,5,66.778332
-9.738095,12,66.810972
-9.666667,15,66.850645
1.119048,6,66.868843
1.071429,4,66.882031
1.238095,11,66.913497
-9.642857,16,66.955819
-0.857143,7,66.97776
-0.928571,4,66.991723
1.309524,14,67.03227
1.166667,8,67.055121
1.238095,11,67.087103
1.190476,9,67.244098
1.142857,7,67.264105
1.119048,6,67.282057
1.166667,8,67.306568
1.214286,10,67.336191
1.238095,11,67.368106
-0.666667,15,67.415486
1.309524,14,67.457876
1.309524,14,67.496711
1.142857,7,67.517853
-9.761905,11,67.551769
1.238095,11,67.584095
1.309524,14,67.629977
1.238095,11,67.66389
-0.904762,5,67.679847
-9.666667,15,67.718752
-9.761905,11,67.749033
-0.904762,5,67.763993
-0.761905,11,67.796817
-0.833333,8,67.820756
1.238095,11,67.852938
1.166667,8,67.875086
-0.833333,8,67.899057
-0.690476,14,67.939948
1.261905,12,67.97485
1.261905,12,68.140115
-0.738095,12,68.176136
-9.809524,9,68.203153
-0.809524,9,68.231078
1.214286,10,68.25997
1.119048,6,68.277031
-9.785714,10,68.303809
-0.714286,13,68.34105
1.166667,8,68.364986
1.261905,12,68.400243
-0.833333,8,68.423205
1.095238,5,68.439124
-0.690476,14,68.478976
1.166667,8,68.502906
1.166667,8,68.525727
1.142857,7,68.547201
1.119048,6,68.566588
1.285714,13,68.602803
1.190476,9,68.62973
-0.880952,6,68.64864
1.214286,10,68.678188
1.142857,7,68.699132
1.238095,11,68.730049
1.142857,7,68.752052
-0.857143,7,68.776035
-0.809524,9,68.80409
1.119048,6,68.822048
1.190476,9,68.847118
1.214286,10,69.003402
1.285714,13,69.039622
1.261905,12,69.075252
-9.785714,10,69.10619
1.166667,8,69.131187
-0.738095,12,69.169132
1.190476,9,69.197057
-9.690476,14,69.238023
-9.690476,14,69.279974
-9.714286,13,69.318495
-0.690476,14,69.361936
-9.857143,7,69.383724
1.142857,7,69.405665
-9.642857,16,69.452434
1.190476,9,69.482215
-0.833333,8,69.510106
1.333333,15,69.557116
1.333333,15,69.602349
1.214286,10,69.633399
-9.785714,10,69.664984
1.119048,6,69.683903
1.238095,11,69.717016
1.190476,9,69.744041
1.190476,9,69.7717
-0.714286,13,69.965791
-9.666667,15,70.009305
1.261905,12,70.043745
1.190476,9,70.068679
1.309524,14,70.108239
-9.690476,14,70.147079
-0.833333,8,70.174065
-0.928571,4,70.188028
-0.809524,9,70.215953
1.166667,8,70.239118
1.142857,7,70.259457
1.238095,11,70.292206
1.190476,9,70.317185
1.261905,12,70.352252
1.214286,10,70.381565
